"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
3134.82838739842,2779.36202407719,3986.04993453115,4286.85339084382,2779.78833661646,4547.54723760439,-6152.42503689675,-6235.29938424404,-6606.61028029107,0,1672.95175479393,-4.79026627856473,-5851.22156248118,-5860.3224539877,"USA.YukonKuskokwimDelta.72B2","presence",0,0,1,0,0
2295.59837521564,2471.70559759378,2601.25302748342,2727.22744352234,1490.6397513887,2739.00884927821,-4668.96824126058,-5117.07828952093,-5312.67202436566,0,1338.80679778493,26.8668371130046,-5275.03035265151,-5136.95296105365,"USA.NorthSlope.Barrow","presence",1,0,0,0,0
3528.05959234511,3607.37900236727,4525.89068934083,4440.62484564056,2388.13289422753,4143.02253360978,-6570.96872408735,-6135.6288732538,-7290.85832960923,0,2119.42458705616,10.4190102016437,-6833.68480239827,-6450.30282204157,"Finland.Kilpisjarvi.16","presence",0,1,0,0,0
1011.64538345139,220.647855107965,-714.997662211609,201.545057600433,58.2690434144897,-75.2986222750619,705.966337396644,299.921536481561,-778.108598034046,0,1726.643045663,30.7540754850614,299.921536481561,-61.9196459107926,"nonveg_1889","absence",0,0,1,0,0
2408.38805355486,2352.2199755122,2887.74096146818,3207.8767135052,1429.46236623176,3594.10577251235,-5256.19298193717,-5818.60494349439,-6018.59910646973,0,1972.2578951016,52.6297976267127,-5279.43123537231,-5635.12937907028,"Finland.Javrresduottar.EC-Sphagnum","presence",0,1,0,0,0
-243.262922656263,335.497137618868,-104.285656445033,-396.430058456259,650.047853407302,2144.83881673577,-2384.87990490772,-243.640347664061,-2439.24564928971,0,1046.47791186356,-59.554051737571,-1687.75029835479,-1640.47539036252,"nonveg_1442","absence",0,0,0,1,0
2922.85184628526,2856.39866768927,3324.21608404357,3662.65733095846,2314.39826932607,3965.20046808484,-5649.56141018183,-5909.47120776481,-6325.31844900093,0,1672.91425729536,18.2827224107655,-5007.43975898293,-5263.64250369005,"USA.YukonKuskokwimDelta.15B4","presence",0,0,1,0,0
2033.87043609079,2176.04720769451,2941.71880688366,3017.39861159247,1062.25526636841,1820.10725803007,-4283.00326264592,-4999.66277035154,-6039.53154262936,0,1520.44883439228,18.6551858811583,-4543.34445392017,-4331.55560018326,"Canada.DeceptionBay.TH7","presence",0,0,1,0,0
917.699379958732,567.406537125345,937.913627043166,192.285424671134,625.34358609681,1435.88828234179,-1951.89543446472,-2754.38234102609,-3775.18248543483,0,745.628202372032,10.0812342711008,-2535.56871896543,-2437.4796228822,"nonveg_957","absence",0,0,1,0,0
2686.35113143389,2677.34533778389,2944.16991125389,3119.02284601812,1651.54027017475,3884.38960445105,-5520.61982879562,-5854.67509048181,-6302.61749874081,0,1528.77512291395,45.8334884719295,-5841.47483946768,-5663.67777411566,"Finland.Javrresduottar.A-Sedge","presence",0,1,0,0,0
-584.932634365073,-530.097486338542,-27.6018999296842,800.396937067966,-473.370392484994,-1994.5400401722,964.518557758716,1084.2826236307,1986.19824606426,0,1385.32957143304,-2.14542772846307,1986.19824606426,1803.4899014853,"nonveg_1677","absence",0,0,0,1,0
