"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","site_code","presence_absence"
368.331940212834,603.702662002585,444.802400877977,548.912172386204,-4228.71923265242,-3311.05028768276,-2842.7622411767,0,"nonveg_832","absence"
1718.36243273909,1704.44465684807,1340.86318839074,3117.45355282091,-3734.03706959335,-3600.85143030367,-2512.87522857783,0,"Russia.Tiksi.BareSoil","absence"
-183.938939464013,-120.736516010487,51.1154910877181,1746.87489423671,-1741.56617552438,-2654.44523696178,-2515.13218761957,0,"nonveg_736","absence"
816.230297995619,1253.76100784689,1610.43215303526,2395.44227374414,-2469.35755957547,-2744.39356228728,-2176.6663608425,0,"nonveg_701","absence"
3197.33877238993,3684.56437768093,1963.52334336095,6241.09348044794,-6549.14494978506,-6569.55753013649,-5114.69512136268,1,"Sweden.Abisko.NT-BirchShrub","presence"
2533.62879796028,3650.69383674003,2051.13697599913,5314.12592293399,-5098.99354941018,-4869.15703566622,-4793.6158954506,0,"USA.YukonKuskokwimDelta.15B5","presence"
2051.78666956074,3532.7498095067,1675.37611111267,7177.40893652766,-6130.72165738537,-6942.25189716939,-5372.04698026409,1,"USA.InteriorAlaska.5","presence"
2579.35588756688,3127.36847752817,1880.82134271987,5684.16508625004,-5252.73143803689,-5796.4510498295,-2790.1440047943,0,"Canada.BonifaceRiver.LSA6","presence"
770.470607465064,1724.89239407063,1257.44812993935,2685.89168483295,-3385.24253219153,-3281.89399937816,-2064.9233989595,0,"nonveg_632","absence"
2547.17982528742,3271.69190010301,1971.50881098312,6206.91275493257,-6493.40636783316,-6570.60065860941,-3544.2268712388,0,"Canada.DeceptionBay.BEGL1","presence"
3027.66065495436,4148.46273565064,1890.22116177044,7010.38496134884,-6816.20293937473,-7240.72489347817,-3536.40786770683,0,"Canada.DeceptionBay.BEGL3","presence"
2164.42484726884,3189.51686776117,1917.99278115107,5167.32694157665,-5938.16943033686,-5919.90419548189,-4400.62800986158,0,"Canada.ChukotkaRiver.TH4","presence"
1718.36243273909,1704.44465684807,1340.86318839074,3117.45355282091,-3734.03706959335,-3600.85143030367,-2512.87522857783,0,"Russia.Tiksi.BareSoil","absence"
405.230341438231,844.552858334684,635.635964930479,988.282782913644,-1934.73880056858,-1557.21084438381,-1940.06090525446,0,"nonveg_801","absence"
1426.4276668547,2059.63100107909,1154.08201099169,1011.27934070979,-1789.68898801202,-1986.93246158636,-1693.23936564556,0,"nonveg_647","absence"
1772.93442083718,2108.28577685604,1337.080667832,3933.00528294167,-4339.24193310793,-4508.38087038875,-3079.60711259742,1,"Canada.ClearwaterLake.LS1","presence"
903.85458278298,673.927882780864,597.08598704599,2278.89439440863,-2515.02887446426,-3160.74783441439,-747.43490759827,0,"Canada.Ivujivik.TP10","presence"
1956.02397970711,2607.45060822018,1511.39953709184,4695.79146802046,-5408.13960047623,-5469.40597838291,-4241.98196762192,0,"USA.YukonKuskokwimDelta.15B3","presence"
3169.16555648115,3759.34984627913,2287.48894669991,6587.16393290815,-6801.91540209543,-7327.06702451098,-4672.80113419633,0,"Sweden.Abisko.NF-SeasonallyFlooded","presence"
1486.3272885543,2568.34754119342,1531.63476942988,3850.75543501525,-4308.24391189386,-4827.81994375171,-3791.75513903683,0,"Canada.Yukon.WHEATEAR","presence"
-1156.33314520797,116.950979165688,-2263.35819040374,-3701.33571151709,7084.95821125973,7164.04727405863,10000,0,"nonveg_1797","absence"
2778.05910324503,4873.55847108244,2454.35901054815,6733.08413803879,-6142.43727420849,-6041.85209682677,-4261.19421099525,0,"USA.Kougaork.GraminoidShrub","presence"
2867.87520680023,3632.67500366882,1720.22465157452,6967.41196443102,-5825.32705600429,-6826.18264689286,-4123.08506377383,0,"Sweden.Abisko.KJ-BirchShrub","presence"
1728.29575253576,2509.92678097275,1395.69746299464,4253.44812730407,-5760.50707755223,-5569.76434697575,-3686.70896972988,0,"USA.YukonKuskokwimDelta.1","presence"
1109.7217031715,764.07122081469,396.150346895591,2377.88251497963,-1692.13945886866,-2652.62310164595,-2834.85188995187,0,"nonveg_561","absence"
368.331940212834,603.702662002585,444.802400877977,548.912172386204,-4228.71923265242,-3311.05028768276,-2842.7622411767,0,"nonveg_832","absence"
