"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changePSLS","spectral_NIR_changeLSES","site_code","presence_absence"
2753.93725587513,3659.7043864002,4111.51185850873,2418.34894613571,-5763.33466678777,-6122.58163419953,-6394.59092207519,-5466.48512763636,0.83494441818308,0,3188.90633419108,1351.07157286806,-5599.64515195736,4.05440089448259,-21.3602421006812,"USA.YukonKuskokwimDelta.72B1","presence"
2471.60887396253,2764.73461916285,3025.253079547,1845.76850021997,-5146.86441530656,-5510.48304848633,-5761.50907163221,-4196.96394747743,2.23700430658129,0,2726.87012022788,822.201422833774,-5160.67773453995,-2.1124741396472,-5.56858401567148,"Canada.ChukotkaRiver.TPO2","presence"
518.548908349327,564.206268620997,580.172107123119,477.998553369314,-1320.38876861545,-2198.59244963201,-2068.34631457138,-1927.88516376727,0.164485394954681,0,564.206268620997,401.848998018063,-1985.20097102804,-1.98350429208481,-4.93016345563186,"nonveg_760","absence"
3092.0879242653,3749.27323287193,4306.63617844155,2346.86929055225,-5831.9061696913,-5660.61896026321,-6029.78386732358,-3941.2935641422,0.302517930666606,0,2911.18855238434,2583.55810889823,-6190.14265677045,-11.6737456237447,-17.4547018575262,"USA.YukonKuskokwimDelta.3","presence"
334.488790090734,517.589719029528,465.12855484281,583.370789988364,-1874.43063795077,-1693.18996507032,-1634.11844250697,-409.700953859261,1.47050523757935,0,465.12855484281,304.729028148188,-1693.18996507032,2.73406645232317,-7.02326889750359,"nonveg_979","absence"
1122.2563377835,1304.29299178538,1514.92017065879,619.602016566967,-2600.79664754681,-2594.43236232813,-3048.88127577306,-1700.35266911842,2.85987219214439,0,924.35115590778,696.336676442979,-2704.33711826074,-60.2789111870598,3.71734481566484,"Canada.BanksIsland.GreenCabin-C07","absence"
529.184950748706,508.287710365694,617.102105492912,676.960950021947,-476.559196250568,-729.959217776637,-869.682806676379,405.63072737147,10.1515512466431,0,529.184950748706,532.087453370895,-729.959217776637,-21.1216132560344,28.7018774363466,"nonveg_1234","absence"
988.243537447298,1111.16132699797,1235.00714650842,821.895975497375,-2470.02004294687,-3012.78998780918,-2952.76949546621,-1097.97510072519,1.49096532911062,0,1138.62059212811,479.945685356808,-2473.90819991923,29.0460660361033,-22.675914435571,"USA.NorthSlope.HoweIsland-C12","absence"
-124.798709040518,477.54141512376,695.282366497831,-738.098259507645,-565.738160849262,-1605.37556008992,-848.801749500853,73.3153625037996,29.5847072601318,0,265.786224749833,1433.38062600548,-848.801749500853,-5.07432724495706,-26.1406179586459,"nonveg_721","absence"
341.588156020308,-142.332753622453,220.53129073889,146.712595738772,-891.017271079506,-1249.34866645186,-2124.53546933321,-1556.68416304865,11.2518472671509,0,220.53129073889,842.401956775397,-1556.68416304865,-15.9014612643482,15.9544323074984,"nonveg_681","absence"
418.254129486882,521.701544340948,390.397308892962,467.917220973146,-1998.95586104134,-2668.95895256224,-2853.63437425875,-1458.13376660398,4.53114175796509,0,467.917220973146,1079.7253823592,-2668.95895256224,6.8311998129227,2.57635356830491,"nonveg_648","absence"
