"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
615.257794562195,186.429075474825,-904.50845750544,-1084.78809304128,1172.10365707662,0,15.2506249729847,-1346.94506623676,"nonveg_900","absence"
2989.2945146093,1578.78306818961,-5565.22648355943,-5489.8384891131,796.763400844454,0,31.0057484442194,-4977.21654246055,"Russia.Kytalyk.T3","presence"
1223.46215686512,1837.30386106184,-1593.35508197206,-2034.28603771103,1114.99240084261,0,-32.5831999334889,-1593.35508197206,"nonveg_647","absence"
757.803284127973,728.748419763241,-1768.54064403405,-1619.34799069677,2341.70467959597,0,-34.8894464378239,-1542.40083990869,"nonveg_825","absence"
1383.8413030684,-881.26260727866,-909.839541184849,-3073.18783243298,1224.67944461663,0,117.523476671829,-1514.31761417653,"nonveg_637","absence"
1239.03956075401,515.842448928389,-521.611749899439,-1068.69691391184,2407.67668912224,0,30.0127896666488,-1850.54308955435,"nonveg_767","absence"
2945.29681593438,1710.27666287155,-5682.15558649306,-5833.02916553969,806.768295837006,0,-117.849202486684,-5670.80559452953,"Russia.Tiksi.DryFen","presence"
-390.370529850908,-398.84768729208,4060.50405709701,3697.38799363312,584.38124040177,0,-12.0919365484921,3697.38799363312,"nonveg_1367","absence"
331.324441587963,488.132449307962,-686.816565630918,-1226.87493432821,965.40785042372,0,0.20072804743,-707.747377866399,"nonveg_1316","absence"
2028.05317957806,1534.8642384809,-5824.82343196532,-6694.86288350961,449.867670583424,1,-47.9193151150219,-5944.53024901959,"Canada.DaringLake.Tower4-LowShrub-1","presence"
2530.28162975162,2288.37647209578,-5603.05539525758,-6470.28494511691,755.987599404282,0,-13.484346944296,-6172.62116831253,"USA.NorthSlope.Ivotuk3","absence"
2258.4482732686,1647.77145710097,-4698.4521594627,-5072.72119884776,716.118317889925,0,-4.89353639906207,-4427.15484165469,"Canada.PayneLake.TD4","presence"
1738.05371769002,1195.77017718541,-4323.43874214317,-4405.68934283671,1030.33682642663,0,17.574848885891,-4144.88283077595,"Canada.BanksIsland.GreenCabin-C11","absence"
1292.84575540812,758.545126383161,-1129.81143253045,-1637.8702918304,2334.44723679153,0,32.1300545543214,-1637.8702918304,"nonveg_902","absence"
137.803297907825,1197.35081194835,-2068.52904611181,-2031.16678166338,1002.10473697816,0,1.76003199475572,-2031.16678166338,"nonveg_714","absence"
1552.73362860448,924.050712833916,-1240.56592992867,-2438.85295000768,1659.24222847851,0,53.0852164852565,-1899.30668853245,"nonveg_540","absence"
2791.61628521707,1791.72790893411,-3900.16022739651,-4663.14646168629,1150.55291099266,0,-18.5911641127732,-4783.83907848895,"Russia.Tazovsky.Unburned28","presence"
2522.06140493414,2091.11996885395,-5558.26359162676,-5961.55194027452,622.323636053675,0,-29.1020119733238,-5333.122433519,"Canada.CoutureLake.TD7","presence"
2224.27775279404,1482.25589837133,-4646.39374672509,-5207.26560758266,705.828254973534,0,10.7017548139434,-4234.16142940876,"Canada.PayneLake.TD0","presence"
780.454181835366,686.247819399926,-1262.00739144999,-1277.35731220549,2064.53605896754,0,94.7174740975595,-1277.35731220549,"nonveg_866","absence"
109.311721769673,326.637396643598,-1161.26643159968,-1520.59745565705,1045.42043339729,0,2.61924787564513,-1161.26643159968,"nonveg_710","absence"
2035.06795224683,1943.14533617081,-6204.85854456194,-6653.50457047092,462.011189016785,0,-25.9792687604195,-6655.08956904334,"Canada.PayneLake.TDA3","presence"
3288.8301687197,2607.05183586719,-6790.44700060533,-6653.38011105707,447.390649480634,1,9.79960824687385,-6541.22331454023,"Finland.Kevo.7","presence"
1185.23980765219,654.008584142596,-2027.56098747546,-2733.06871829369,806.730716275146,0,8.15609736182854,-2348.82798910157,"nonveg_746","absence"
615.257794562195,186.429075474825,-904.50845750544,-1084.78809304128,1172.10365707662,0,15.2506249729847,-1346.94506623676,"nonveg_900","absence"
-570.326242075216,-170.91479074925,8483.8752066716,5226.47475201177,469.260540381598,0,-8.21918337322633,5226.47475201177,"nonveg_1344","absence"
957.065768527685,85.4707164054539,10000,1087.46453925837,811.600315870102,0,43.3502860002805,1231.61316770955,"nonveg_991","absence"
421.275717796619,102.081073830196,751.343757383258,-2857.6440267411,829.624345810223,0,-24.4153048169639,-1736.71653685517,"nonveg_623","absence"
-187.875250433188,14.7603576176567,-1376.14354188458,-1290.21443890052,1138.91113246195,0,-36.0554134259506,-1211.26911231856,"nonveg_582","absence"
1347.26692038649,1660.60019755755,-1683.15517225614,-2408.19925774277,1431.87008369819,0,-39.4346899117618,-1683.15517225614,"nonveg_663","absence"
1850.25928612705,1355.49592267423,-4276.1776703144,-5079.11964472152,663.845313977449,0,-40.5476038971525,-4173.84676898807,"Canada.LeRoyLake.TD4","presence"
1021.1839200235,655.865243339895,-611.225775880948,-1052.57747454129,1518.9171126712,0,-29.3027125018685,-611.225775880948,"nonveg_673","absence"
2889.24094568523,2464.71814277244,-6215.28045252477,-6555.99458341126,642.045847606289,0,-47.4066447327222,-6124.62908442812,"Canada.Yukon.SWEDE","presence"
2859.46645511492,2065.3324819069,-6338.81695804174,-6148.16968494562,723.874531002058,0,-98.4416935875777,-6466.13294976588,"Russia.Yamal.VaskinyDachi-2","presence"
3250.89533394439,1096.5112087706,-5527.98228141791,-6696.41965996136,543.28307474865,0,-76.3812590429028,-5318.63634187152,"USA.InteriorAlaska.BABBAGE","presence"
1101.97035149844,793.683889144757,-2940.5924065397,-3558.84353998586,1168.35003613883,0,13.3637823100382,-3075.4613929715,"Canada.BanksIsland.GreenCabin-C08","presence"
3455.42806838611,2092.30643469771,-6225.20448958644,-6541.25718588383,630.578208300169,0,-59.0354905644515,-6704.02970377471,"Norway.Javrresduottar.A-Hummock","presence"
-112.930495684184,-540.22827028897,-1201.82202438685,-2000.39937834168,972.897297646405,0,-25.0355288373769,-1201.82202438685,"nonveg_616","absence"
2119.85877310562,1697.88041589356,-6149.55088415997,-6924.85935502501,414.434418064973,1,-26.2617053413331,-6115.2673705942,"Russia.Kolyma.T1","presence"
3724.41907514684,2816.28747547827,-6448.79478383161,-6800.33243144257,646.162317497614,0,-60.3582153086452,-7576.579359644,"Norway.Javrresduottar.A-Sphagnum","presence"
189.124730356152,48.4821788428067,-2526.49904865789,-2742.82765355171,710.03093722197,0,-44.0830818189063,-2072.47010418176,"nonveg_882","absence"
249.494711268384,970.218765496977,-2058.84473168806,-1766.8715140001,2201.19886958371,0,-19.3742282987882,-1766.8715140001,"nonveg_894","absence"
834.15859928273,556.624567317065,-1162.2396664515,-1706.59631564124,1857.5673451734,0,-43.156246348171,-988.884694337723,"nonveg_809","absence"
599.336043850231,-84.7533628525991,-305.021715254698,-844.612701532079,1250.89614584724,0,-9.49353849332338,-844.612701532079,"nonveg_547","absence"
331.324441587963,488.132449307962,-686.816565630918,-1226.87493432821,965.40785042372,0,0.20072804743,-707.747377866399,"nonveg_1316","absence"
2916.54537114995,2764.02932127837,-5140.11705688212,-5949.74086267593,846.988466197952,0,-27.3762464281834,-5488.43751517901,"USA.BrooksRange.6","presence"
2132.00510595031,1753.88122879772,-5274.16575209358,-6049.59549659826,678.683043627152,0,-28.5591613975512,-5416.96412072922,"USA.Toolik.S2","presence"
