dataset_id,citation_short,site_code,bioclim_zone,mat_degC,gdd_degC,map_mm,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.253,Oroarctic,-1.24999999999994,1150.6,687.5,69.0575835,20.807735
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.259,Oroarctic,-1.24999999999994,1150.6,687.5,69.0602805,20.806857
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.265,Oroarctic,-1.74999999999994,1045.8,726,69.06296,20.8062885
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.271,Oroarctic,-1.74999999999994,1045.8,726,69.065607,20.8054195
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.277,Oroarctic,-1.74999999999994,1045.8,726,69.0683135,20.804661
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.289,Oroarctic,-2.14999999999998,989.9,740.7,69.055829,20.809413
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.295,Oroarctic,-1.24999999999994,1150.6,687.5,69.058565,20.808719
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.301,Oroarctic,-1.24999999999994,1150.6,687.5,69.061199,20.80793
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.31,Oroarctic,-1.74999999999994,1045.8,726,69.065356,20.797901
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.313,Oroarctic,-1.74999999999994,1045.8,726,69.066568,20.806482
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.317,Oroarctic,-1.74999999999994,1045.8,726,69.068372,20.805864
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.319,Oroarctic,-1.74999999999994,1045.8,726,69.069176,20.80555
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.325,Oroarctic,-2.14999999999998,989.9,740.7,69.0541215,20.8109745
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.331,Oroarctic,-2.14999999999998,989.9,740.7,69.056826,20.8105105
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.343,Oroarctic,-1.24999999999994,1150.6,687.5,69.06215,20.808952
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.349,Oroarctic,-1.74999999999994,1045.8,726,69.0648375,20.8082285
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.355,Oroarctic,-1.74999999999994,1045.8,726,69.0674705,20.807449
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.361,Oroarctic,-2.14999999999998,989.9,740.7,69.052434,20.812911
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.367,Oroarctic,-2.14999999999998,989.9,740.7,69.055092,20.8121795
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.37,Oroarctic,-1.74999999999994,1045.8,726,69.06801,20.79727
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.373,Oroarctic,-2.14999999999998,989.9,740.7,69.057754,20.811311
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.385,Oroarctic,-1.74999999999994,1045.8,726,69.063106,20.809896
